ZIP,returns,total,farmers
92019,19340.0,1369797.0,30.0
92020,24200.0,1239395.0,0.0
92021,28610.0,1386729.0,40.0
92024,24710.0,2956067.0,80.0
92025,20430.0,1102517.0,120.0
92026,22580.0,1313157.0,160.0
92027,23630.0,1186877.0,70.0
92028,20360.0,1323779.0,820.0
92029,8760.0,838614.0,70.0
92036,1530.0,92064.0,30.0
92037,18350.0,4151797.0,70.0
92040,19350.0,1109860.0,70.0
92054,18370.0,912345.0,20.0
92056,25670.0,1499463.0,20.0
92057,25920.0,1444982.0,40.0
92058,16120.0,667457.0,0.0
92059,790.0,88509.0,0.0
92061,1390.0,112032.0,50.0
92064,22060.0,2350909.0,70.0
92065,16230.0,1140168.0,220.0
92066,140.0,6400.0,0.0
92069,19860.0,1129002.0,40.0
92070,540.0,26955.0,20.0
92071,24970.0,1511050.0,0.0
92075,6830.0,1002773.0,20.0
92078,19900.0,1582740.0,50.0
92081,13080.0,849795.0,20.0
92082,8640.0,628722.0,480.0
92083,16150.0,618614.0,0.0
92084,20920.0,1101402.0,160.0
92086,550.0,23629.0,20.0
92091,600.0,178184.0,0.0
92101,18910.0,1721165.0,0.0
92102,19090.0,678290.0,0.0
92103,18910.0,1642203.0,20.0
92104,24280.0,1233892.0,0.0
92105,28050.0,833924.0,0.0
92106,9370.0,1102071.0,0.0
92107,15050.0,1113044.0,0.0
92108,11720.0,780272.0,0.0
92109,25700.0,1866412.0,20.0
92110,12720.0,821028.0,0.0
92111,21730.0,1138593.0,0.0
92113,19700.0,519510.0,0.0
92114,29800.0,1181955.0,0.0
92115,24200.0,1125550.0,0.0
92116,18100.0,1076794.0,0.0
92117,26300.0,1606307.0,30.0
92118,8050.0,931104.0,20.0
92119,11480.0,813421.0,0.0
92120,13560.0,1078648.0,0.0
92121,2460.0,362551.0,0.0
92122,18710.0,1665009.0,0.0
92123,13640.0,870054.0,0.0
92124,12570.0,972794.0,0.0
92126,34840.0,2153853.0,0.0
92127,17100.0,2543513.0,0.0
92128,23200.0,2162934.0,20.0
92129,23610.0,2295552.0,30.0
92130,21670.0,4322462.0,30.0
92131,16090.0,2199073.0,0.0
92139,16600.0,725428.0,0.0
92154,38790.0,1571789.0,0.0
92173,20690.0,588281.0,0.0
92201,23600.0,875554.0,30.0
92203,11070.0,738743.0,0.0
92210,1800.0,392925.0,0.0
92211,11250.0,833914.0,20.0
92220,12820.0,591148.0,30.0
92223,19670.0,1140463.0,40.0
92225,5390.0,227204.0,50.0
92227,10150.0,491081.0,130.0
92230,930.0,28711.0,0.0
92231,24980.0,667624.0,0.0
92233,1380.0,54799.0,0.0
92234,20860.0,813041.0,0.0
92236,17210.0,470085.0,20.0
92240,13920.0,422317.0,0.0
92241,2490.0,83244.0,0.0
92242,390.0,13509.0,0.0
92243,18650.0,798487.0,50.0
92249,3070.0,108708.0,0.0
92250,3280.0,161365.0,70.0
92251,7430.0,420245.0,0.0
92252,3370.0,129563.0,0.0
92253,15240.0,1235801.0,30.0
92254,7490.0,167437.0,0.0
92256,1430.0,58943.0,0.0
92257,500.0,14938.0,0.0
92260,13020.0,856477.0,0.0
92262,11500.0,678279.0,0.0
