Price,Bedrooms,Bathrooms,Size,Santa Maria-Orcutt (0/1),Paso Robles (0/1),Atascadero (0/1),Nipomo (0/1),Arroyo Grande (0/1),Lompoc (0/1),Los Osos (0/1),Grover Beach (0/1), Paso Robles (0/1),San Miguel (0/1)
214900.0,2,2,1351,0,0,0,0,0,0,0,0,1,0
249900.0,3,2,1733,1,0,0,0,0,0,0,0,0,0
179000.0,3,2,1300,1,0,0,0,0,0,0,0,0,0
260000.0,3,3,1687,0,1,0,0,0,0,0,0,0,0
164900.0,3,2,1440,0,1,0,0,0,0,0,0,0,0
84900.0,2,2,1222,0,0,0,0,0,0,0,0,0,1
370000.0,4,2,2064,0,1,0,0,0,0,0,0,0,0
849900.0,3,4,3375,0,0,0,0,1,0,0,0,0,0
349900.0,4,3,2800,1,0,0,0,0,0,0,0,0,0
199000.0,2,1,827,0,0,0,0,1,0,0,0,0,0
365000.0,3,3,2136,0,1,0,0,0,0,0,0,0,0
329700.0,4,2,1367,1,0,0,0,0,0,0,0,0,0
105000.0,2,2,1088,1,0,0,0,0,0,0,0,0,0
109900.0,2,2,1200,1,0,0,0,0,0,0,0,0,0
209900.0,2,2,1113,1,0,0,0,0,0,0,0,0,0
180900.0,2,2,1100,1,0,0,0,0,0,0,0,0,0
225000.0,3,3,1800,1,0,0,0,0,0,0,0,0,0
795000.0,3,3,2371,0,0,0,0,1,0,0,0,0,0
179900.0,4,3,2150,1,0,0,0,0,0,0,0,0,0
469000.0,4,3,2449,0,0,0,0,0,0,0,1,0,0
419000.0,3,2,1902,0,0,0,0,0,0,0,1,0,0
180000.0,3,2,1280,1,0,0,0,0,0,0,0,0,0
495000.0,3,2,1486,0,0,0,0,1,0,0,0,0,0
432000.0,4,3,3113,0,1,0,0,0,0,0,0,0,0
429000.0,3,3,2041,0,0,0,0,0,1,0,0,0,0
249500.0,2,2,1088,0,0,0,0,0,0,0,1,0,0
150000.0,3,2,1349,1,0,0,0,0,0,0,0,0,0
191330.0,4,2,1237,0,0,0,0,0,1,0,0,0,0
579000.0,5,3,3150,0,1,0,0,0,0,0,0,0,0
359000.0,3,2,1774,0,1,0,0,0,0,0,0,0,0
599000.0,4,3,3120,0,0,1,0,0,0,0,0,0,0
285000.0,4,3,2100,1,0,0,0,0,0,0,0,0,0
125000.0,3,3,1306,0,0,0,0,0,1,0,0,0,0
299000.0,2,2,1410,1,0,0,0,0,0,0,0,0,0
148900.0,5,2,1064,1,0,0,0,0,0,0,0,0,0
279900.0,2,2,1134,0,0,0,1,0,0,0,0,0,0
449970.0,3,2,2000,0,0,1,0,0,0,0,0,0,0
335000.0,4,3,2400,0,0,1,0,0,0,0,0,0,0
325000.0,2,1,768,0,0,0,0,0,0,0,1,0,0
235000.0,4,2,1860,1,0,0,0,0,0,0,0,0,0
265000.0,4,3,2300,1,0,0,0,0,0,0,0,0,0
279000.0,2,2,880,0,0,0,0,1,0,0,0,0,0
183000.0,3,1,888,0,1,0,0,0,0,0,0,0,0
280000.0,3,3,1910,1,0,0,0,0,0,0,0,0,0
250000.0,3,2,1280,1,0,0,0,0,0,0,0,0,0
239000.0,3,2,1106,0,0,0,1,0,0,0,0,0,0
329000.0,3,2,1420,0,1,0,0,0,0,0,0,0,0
200000.0,4,2,1430,1,0,0,0,0,0,0,0,0,0
299000.0,3,2,1719,0,1,0,0,0,0,0,0,0,0
200000.0,3,2,1139,1,0,0,0,0,0,0,0,0,0
550000.0,4,3,2600,0,0,0,1,0,0,0,0,0,0
445000.0,5,3,3307,1,0,0,0,0,0,0,0,0,0
239000.0,3,2,1022,0,0,1,0,0,0,0,0,0,0
249900.0,2,1,720,0,0,0,0,0,0,1,0,0,0
525000.0,3,3,2365,0,0,0,1,0,0,0,0,0,0
340000.0,3,1,1110,0,0,0,1,0,0,0,0,0,0
275000.0,4,3,1877,1,0,0,0,0,0,0,0,0,0
250000.0,4,2,1206,1,0,0,0,0,0,0,0,0,0
220000.0,3,2,1850,1,0,0,0,0,0,0,0,0,0
309900.0,4,3,1600,1,0,0,0,0,0,0,0,0,0
150000.0,2,2,896,0,0,0,0,0,0,1,0,0,0
255900.0,3,2,1440,1,0,0,0,0,0,0,0,0,0
295000.0,3,2,1386,1,0,0,0,0,0,0,0,0,0
229000.0,3,2,1458,0,0,0,0,0,0,0,0,0,1
170000.0,3,2,1280,1,0,0,0,0,0,0,0,0,0
429000.0,4,2,1870,0,1,0,0,0,0,0,0,0,0
650000.0,3,3,3249,0,0,0,0,0,0,1,0,0,0
195000.0,3,2,1218,1,0,0,0,0,0,0,0,0,0
449900.0,3,3,2135,0,0,1,0,0,0,0,0,0,0
419000.0,2,2,1587,0,0,0,0,1,0,0,0,0,0
215000.0,3,2,1450,1,0,0,0,0,0,0,0,0,0
180000.0,2,2,1082,1,0,0,0,0,0,0,0,0,0
140000.0,3,2,1080,1,0,0,0,0,0,0,0,0,0
185000.0,3,2,1170,1,0,0,0,0,0,0,0,0,0
192900.0,4,2,1603,1,0,0,0,0,0,0,0,0,0
227900.0,3,2,1503,0,0,0,0,0,1,0,0,0,0
140000.0,2,2,1100,1,0,0,0,0,0,0,0,0,0
409000.0,4,2,2064,0,1,0,0,0,0,0,0,0,0
299500.0,4,2,1836,0,0,1,0,0,0,0,0,0,0
169900.0,3,2,1150,0,0,0,0,0,1,0,0,0,0
545000.0,4,3,3032,0,1,0,0,0,0,0,0,0,0
130000.0,3,2,1850,1,0,0,0,0,0,0,0,0,0
287000.0,3,2,1269,0,1,0,0,0,0,0,0,0,0
310000.0,4,3,2014,1,0,0,0,0,0,0,0,0,0
295000.0,3,3,1800,1,0,0,0,0,0,0,0,0,0
385000.0,3,2,1535,0,0,0,0,1,0,0,0,0,0
402500.0,3,2,2446,0,1,0,0,0,0,0,0,0,0
